record_type,count,label,coar_uri,label_es,notas
info:eu-repo/semantics/article,210672,RESEARCH ARTICLE,http://purl.org/coar/resource_type/c_2df8fbb1,ARTÍCULO ORIGINAL,
info:ar-repo/semantics/artículo,210672,RESEARCH ARTICLE,http://purl.org/coar/resource_type/c_2df8fbb1,ARTÍCULO ORIGINAL,
info:eu-repo/semantics/bookPart,20111,BOOK PART,http://purl.org/coar/resource_type/c_3248,CAPÍTULO DE LIBRO,
info:ar-repo/semantics/parte de libro,20111,BOOK PART,http://purl.org/coar/resource_type/c_3248,CAPÍTULO DE LIBRO,
info:eu-repo/semantics/conferenceObject,13541,CONFERENCE OUTPUT,http://purl.org/coar/resource_type/c_c94f,CONTRIBUCIÓN DE CONGRESO,
info:ar-repo/semantics/documento de conferencia,13541,CONFERENCE OUTPUT,http://purl.org/coar/resource_type/c_c94f,CONTRIBUCIÓN DE CONGRESO,
Book,8929,,#N/A,#N/A,
Congreso,5697,,#N/A,#N/A,
Journal,4598,,#N/A,#N/A,
info:ar-repo/semantics/libro,3744,BOOK,http://purl.org/coar/resource_type/c_2f33,LIBRO,
info:eu-repo/semantics/book,3744,BOOK,http://purl.org/coar/resource_type/c_2f33,LIBRO,
info:eu-repo/semantics/other,2791,,#N/A,#N/A,"lo dejo vacio a proposito, ya que por default todo va a ir a other"
Jornada,2713,,#N/A,#N/A,
Reunión,2481,,#N/A,#N/A,
info:ar-repo/semantics/conjuntoDeDatos,2162,DATASET,http://purl.org/coar/resource_type/c_ddb1,CONJUNTO DE DATOS,
v1.0,2080,,#N/A,#N/A,
info:eu-repo/semantics/doctoralThesis,1805,DOCTORAL THESIS,http://purl.org/coar/resource_type/c_db06,TESIS DOCTORAL,
info:ar-repo/semantics/tesis doctoral,1554,DOCTORAL THESIS,http://purl.org/coar/resource_type/c_db06,TESIS DOCTORAL,
Simposio,772,,#N/A,#N/A,
Conferencia,684,,#N/A,#N/A,
Encuentro,606,,#N/A,#N/A,
info:ar-repo/semantics/videograbación,322,VIDEO,http://purl.org/coar/resource_type/c_12ce,VÍDEO,
Workshop,216,,#N/A,#N/A,
Taller,135,,#N/A,#N/A,
Otro,133,,#N/A,#N/A,
info:ar-repo/semantics/fotografía,106,IMAGE,http://purl.org/coar/resource_type/c_c513,IMAGEN,
Seminario,67,,#N/A,#N/A,
"Pelicula, grabacion y multimedia",60,,#N/A,#N/A,
Documentales,56,,#N/A,#N/A,
Series documentales,52,,#N/A,#N/A,
Microprogramas,33,,#N/A,#N/A,
v1.0.0.,21,,#N/A,#N/A,
Virtual,18,,#N/A,#N/A,
v2.0,15,,#N/A,#N/A,
No publicado,14,,#N/A,#N/A,
v1.0.0,12,,#N/A,#N/A,
Exposición,9,,#N/A,#N/A,
v1.1,7,,#N/A,#N/A,
Webinar,5,,#N/A,#N/A,
Mesa redonda,4,,#N/A,#N/A,
v1,4,,#N/A,#N/A,
v1.0.1,3,,#N/A,#N/A,
v1.2,2,,#N/A,#N/A,
v5.4.4,2,,#N/A,#N/A,
v1.6,2,,#N/A,#N/A,
v1.5,2,,#N/A,#N/A,
v10.1002/ecy.3137,1,,#N/A,#N/A,
vVersion 1,1,,#N/A,#N/A,
v3.0,1,,#N/A,#N/A,
v9.0,1,,#N/A,#N/A,
Feria,1,,#N/A,#N/A,
CECIC_OLIVA1_v1.0,1,,#N/A,#N/A,
v4,1,,#N/A,#N/A,
v87468db,1,,#N/A,#N/A,
v2022 1.0,1,,#N/A,#N/A,
v2021 1.0,1,,#N/A,#N/A,
v2025,1,,#N/A,#N/A,
v1.11,1,,#N/A,#N/A,
v1.3,1,,#N/A,#N/A,
,,,#N/A,#N/A,